"YYBM","PSDBM","PSDBH","YPBM","SCPH","CRKSL","PSDMXBH"
"455755717","45575571701","P2016101900000004","109513","1","1","P2016101900000004-0265"
"455755717","45575571701","P2016101900000004","115353","1","1","P2016101900000004-0254"
"455755717","45575571701","P2016101900000004","116779","1","1","P2016101900000004-0439"
"455755717","45575571701","P2016101900000004","109561","1","1","P2016101900000004-0480"
"455755717","45575571701","P2016101900000004","114141","1","1","P2016101900000004-0024"
"455755717","45575571701","P2016101900000004","116295","1","1","P2016101900000004-0328"
"455755717","45575571701","P2016101900000004","101349","1","1","P2016101900000004-0315"
"455755717","45575571701","P2016101900000004","104547","1","1","P2016101900000004-0126"
"455755717","45575571701","P2016101900000004","100002","1","1","P2016101900000004-0096"
"455755717","45575571701","P2016101900000004","108507","1","1","P2016101900000004-0089"
"455755717","45575571701","P2016101900000004","113187","1","1","P2016101900000004-0350"
"455755717","45575571701","P2016101900000004","114185","1","1","P2016101900000004-0142"
"455755717","45575571701","P2016101900000004","106247","1","1","P2016101900000004-0009"
"455755717","45575571701","P2016101900000004","115381","1","1","P2016101900000004-0082"
"455755717","45575571701","P2016101900000004","104179","1","1","P2016101900000004-0234"
"455755717","45575571701","P2016101900000004","108177","1","1","P2016101900000004-0496"
"455755717","45575571701","P2016101900000004","104483","1","1","P2016101900000004-0148"
"455755717","45575571701","P2016101900000004","111095","1","1","P2016101900000004-0199"
"455755717","45575571701","P2016101900000004","115333","1","1","P2016101900000004-0028"
"455755717","45575571701","P2016101900000004","103429","1","1","P2016101900000004-0263"
"455755717","45575571701","P2016101900000004","112977","1","1","P2016101900000004-0027"
"455755717","45575571701","P2016101900000004","113119","1","1","P2016101900000004-0119"
"455755717","45575571701","P2016101900000004","100433","1","1","P2016101900000004-0299"
"455755717","45575571701","P2016101900000004","112969","1","1","P2016101900000004-0441"
"455755717","45575571701","P2016101900000004","117425","1","1","P2016101900000004-0478"
"455755717","45575571701","P2016101900000004","111039","1","1","P2016101900000004-0031"
"455755717","45575571701","P2016101900000004","100921","1","1","P2016101900000004-0294"
"455755717","45575571701","P2016101900000004","108547","1","1","P2016101900000004-0375"
"455755717","45575571701","P2016101900000004","101209","1","1","P2016101900000004-0098"
"455755717","45575571701","P2016101900000004","115341","1","1","P2016101900000004-0129"
"455755717","45575571701","P2016101900000004","105373","1","1","P2016101900000004-0500"
"455755717","45575571701","P2016101900000004","104971","1","1","P2016101900000004-0474"
"455755717","45575571701","P2016101900000004","114747","1","1","P2016101900000004-0301"
"455755717","45575571701","P2016101900000004","102609","1","1","P2016101900000004-0312"
"455755717","45575571701","P2016101900000004","117417","1","1","P2016101900000004-0402"
"455755717","45575571701","P2016101900000004","108519","1","1","P2016101900000004-0244"
"455755717","45575571701","P2016101900000004","113007","1","1","P2016101900000004-0251"
"455755717","45575571701","P2016101900000004","113167","1","1","P2016101900000004-0193"
"455755717","45575571701","P2016101900000004","108137","1","1","P2016101900000004-0316"
"455755717","45575571701","P2016101900000004","108511","1","1","P2016101900000004-0016"
"455755717","45575571701","P2016101900000004","114939","1","1","P2016101900000004-0348"
"455755717","45575571701","P2016101900000004","111135","1","1","P2016101900000004-0488"
"455755717","45575571701","P2016101900000004","104219","1","1","P2016101900000004-0061"
"455755717","45575571701","P2016101900000004","111051","1","1","P2016101900000004-0218"
"455755717","45575571701","P2016101900000004","108229","1","1","P2016101900000004-0468"
"455755717","45575571701","P2016101900000004","108167","1","1","P2016101900000004-0450"
"455755717","45575571701","P2016101900000004","106295","1","1","P2016101900000004-0397"
"455755717","45575571701","P2016101900000004","103761","1","1","P2016101900000004-0380"
"455755717","45575571701","P2016101900000004","103141","1","1","P2016101900000004-0393"
"455755717","45575571701","P2016101900000004","113823","1","1","P2016101900000004-0099"
"455755717","45575571701","P2016101900000004","104185","1","1","P2016101900000004-0484"
"455755717","45575571701","P2016101900000004","104161","1","1","P2016101900000004-0248"
"455755717","45575571701","P2016101900000004","114369","1","1","P2016101900000004-0270"
"455755717","45575571701","P2016101900000004","100977","1","1","P2016101900000004-0433"
"455755717","45575571701","P2016101900000004","101101","1","1","P2016101900000004-0189"
"455755717","45575571701","P2016101900000004","108501","1","1","P2016101900000004-0396"
"455755717","45575571701","P2016101900000004","101123","1","1","P2016101900000004-0330"
"455755717","45575571701","P2016101900000004","112967","1","1","P2016101900000004-0002"
"455755717","45575571701","P2016101900000004","109567","1","1","P2016101900000004-0162"
"455755717","45575571701","P2016101900000004","101099","1","1","P2016101900000004-0403"
"455755717","45575571701","P2016101900000004","109473","1","1","P2016101900000004-0344"
"455755717","45575571701","P2016101900000004","114571","1","1","P2016101900000004-0073"
"455755717","45575571701","P2016101900000004","100054","1","1","P2016101900000004-0266"
"455755717","45575571701","P2016101900000004","106081","1","1","P2016101900000004-0293"
"455755717","45575571701","P2016101900000004","100973","1","1","P2016101900000004-0139"
"455755717","45575571701","P2016101900000004","100025","1","1","P2016101900000004-0103"
"455755717","45575571701","P2016101900000004","114134","1","1","P2016101900000004-0128"
"455755717","45575571701","P2016101900000004","108527","1","1","P2016101900000004-0388"
"455755717","45575571701","P2016101900000004","115515","1","1","P2016101900000004-0277"
"455755717","45575571701","P2016101900000004","108221","1","1","P2016101900000004-0295"
"455755717","45575571701","P2016101900000004","114317","1","1","P2016101900000004-0409"
"455755717","45575571701","P2016101900000004","114335","1","1","P2016101900000004-0419"
"455755717","45575571701","P2016101900000004","118105","1","1","P2016101900000004-0400"
"455755717","45575571701","P2016101900000004","114323","1","1","P2016101900000004-0133"
"455755717","45575571701","P2016101900000004","117449","1","1","P2016101900000004-0015"
"455755717","45575571701","P2016101900000004","108185","1","1","P2016101900000004-0308"
"455755717","45575571701","P2016101900000004","111475","1","1","P2016101900000004-0051"
"455755717","45575571701","P2016101900000004","101351","1","1","P2016101900000004-0088"
"455755717","45575571701","P2016101900000004","110377","1","1","P2016101900000004-0080"
"455755717","45575571701","P2016101900000004","109409","1","1","P2016101900000004-0185"
"455755717","45575571701","P2016101900000004","103251","1","1","P2016101900000004-0331"
"455755717","45575571701","P2016101900000004","100431","1","1","P2016101900000004-0304"
"455755717","45575571701","P2016101900000004","101125","1","1","P2016101900000004-0186"
"455755717","45575571701","P2016101900000004","105927","1","1","P2016101900000004-0090"
"455755717","45575571701","P2016101900000004","111541","1","1","P2016101900000004-0112"
"455755717","45575571701","P2016101900000004","114577","1","1","P2016101900000004-0253"
"455755717","45575571701","P2016101900000004","117447","1","1","P2016101900000004-0449"
"455755717","45575571701","P2016101900000004","102595","1","1","P2016101900000004-0177"
"455755717","45575571701","P2016101900000004","111103","1","1","P2016101900000004-0465"
"455755717","45575571701","P2016101900000004","112695","1","1","P2016101900000004-0336"
"455755717","45575571701","P2016101900000004","105603","1","1","P2016101900000004-0249"
"455755717","45575571701","P2016101900000004","108523","1","1","P2016101900000004-0200"
"455755717","45575571701","P2016101900000004","102607","1","1","P2016101900000004-0113"
"455755717","45575571701","P2016101900000004","116309","1","1","P2016101900000004-0492"
"455755717","45575571701","P2016101900000004","117443","1","1","P2016101900000004-0353"
"455755717","45575571701","P2016101900000004","104221","1","1","P2016101900000004-0363"
"455755717","45575571701","P2016101900000004","112687","1","1","P2016101900000004-0314"
"455755717","45575571701","P2016101900000004","101609","1","1","P2016101900000004-0385"
"455755717","45575571701","P2016101900000004","100985","1","1","P2016101900000004-0035"
"455755717","45575571701","P2016101900000004","105343","1","1","P2016101900000004-0059"
"455755717","45575571701","P2016101900000004","104165","1","1","P2016101900000004-0022"
"455755717","45575571701","P2016101900000004","109379","1","1","P2016101900000004-0445"
"455755717","45575571701","P2016101900000004","108543","1","1","P2016101900000004-0275"
"455755717","45575571701","P2016101900000004","115361","1","1","P2016101900000004-0250"
"455755717","45575571701","P2016101900000004","115349","1","1","P2016101900000004-0475"
"455755717","45575571701","P2016101900000004","106065","1","1","P2016101900000004-0047"
"455755717","45575571701","P2016101900000004","110361","1","1","P2016101900000004-0476"
"455755717","45575571701","P2016101900000004","106327","1","1","P2016101900000004-0246"
"455755717","45575571701","P2016101900000004","102557","1","1","P2016101900000004-0179"
"455755717","45575571701","P2016101900000004","117431","1","1","P2016101900000004-0335"
"455755717","45575571701","P2016101900000004","103337","1","1","P2016101900000004-0376"
"455755717","45575571701","P2016101900000004","101477","1","1","P2016101900000004-0130"
"455755717","45575571701","P2016101900000004","103491","1","1","P2016101900000004-0240"
"455755717","45575571701","P2016101900000004","105365","1","1","P2016101900000004-0420"
"455755717","45575571701","P2016101900000004","106077","1","1","P2016101900000004-0276"
"455755717","45575571701","P2016101900000004","106225","1","1","P2016101900000004-0006"
"455755717","45575571701","P2016101900000004","105607","1","1","P2016101900000004-0107"
"455755717","45575571701","P2016101900000004","101257","1","1","P2016101900000004-0093"
"455755717","45575571701","P2016101900000004","111773","1","1","P2016101900000004-0058"
"455755717","45575571701","P2016101900000004","104549","1","1","P2016101900000004-0334"
"455755717","45575571701","P2016101900000004","117589","1","1","P2016101900000004-0462"
"455755717","45575571701","P2016101900000004","114353","1","1","P2016101900000004-0424"
"455755717","45575571701","P2016101900000004","100883","1","1","P2016101900000004-0261"
"455755717","45575571701","P2016101900000004","100031","1","1","P2016101900000004-0188"
"455755717","45575571701","P2016101900000004","112959","1","1","P2016101900000004-0326"
"455755717","45575571701","P2016101900000004","106219","1","1","P2016101900000004-0014"
"455755717","45575571701","P2016101900000004","106275","1","1","P2016101900000004-0221"
"455755717","45575571701","P2016101900000004","108149","1","1","P2016101900000004-0401"
"455755717","45575571701","P2016101900000004","100911","1","1","P2016101900000004-0327"
"455755717","45575571701","P2016101900000004","115323","1","1","P2016101900000004-0159"
"455755717","45575571701","P2016101900000004","110381","1","1","P2016101900000004-0427"
"455755717","45575571701","P2016101900000004","116361","1","1","P2016101900000004-0404"
"455755717","45575571701","P2016101900000004","109451","1","1","P2016101900000004-0355"
"455755717","45575571701","P2016101900000004","113799","1","1","P2016101900000004-0146"
"455755717","45575571701","P2016101900000004","100004","1","1","P2016101900000004-0102"
"455755717","45575571701","P2016101900000004","116357","1","1","P2016101900000004-0434"
"455755717","45575571701","P2016101900000004","101525","1","1","P2016101900000004-0333"
"455755717","45575571701","P2016101900000004","111523","1","1","P2016101900000004-0382"
"455755717","45575571701","P2016101900000004","113127","1","1","P2016101900000004-0440"
"455755717","45575571701","P2016101900000004","111155","1","1","P2016101900000004-0364"
"455755717","45575571701","P2016101900000004","107241","1","1","P2016101900000004-0494"
"455755717","45575571701","P2016101900000004","105353","1","1","P2016101900000004-0365"
"455755717","45575571701","P2016101900000004","111057","1","1","P2016101900000004-0174"
"455755717","45575571701","P2016101900000004","117587","1","1","P2016101900000004-0145"
"455755717","45575571701","P2016101900000004","109463","1","1","P2016101900000004-0067"
"455755717","45575571701","P2016101900000004","113813","1","1","P2016101900000004-0127"
"455755717","45575571701","P2016101900000004","101121","1","1","P2016101900000004-0064"
"455755717","45575571701","P2016101900000004","115377","1","1","P2016101900000004-0415"
"455755717","45575571701","P2016101900000004","108529","1","1","P2016101900000004-0262"
"455755717","45575571701","P2016101900000004","117639","1","1","P2016101900000004-0329"
"455755717","45575571701","P2016101900000004","102541","1","1","P2016101900000004-0356"
"455755717","45575571701","P2016101900000004","114053","1","1","P2016101900000004-0018"
"455755717","45575571701","P2016101900000004","109571","1","1","P2016101900000004-0255"
"455755717","45575571701","P2016101900000004","109403","1","1","P2016101900000004-0140"
"455755717","45575571701","P2016101900000004","101325","1","1","P2016101900000004-0444"
"455755717","45575571701","P2016101900000004","100443","1","1","P2016101900000004-0013"
"455755717","45575571701","P2016101900000004","104517","1","1","P2016101900000004-0324"
"455755717","45575571701","P2016101900000004","109447","1","1","P2016101900000004-0428"
"455755717","45575571701","P2016101900000004","101091","1","1","P2016101900000004-0050"
"455755717","45575571701","P2016101900000004","100963","1","1","P2016101900000004-0121"
"455755717","45575571701","P2016101900000004","101245","1","1","P2016101900000004-0412"
"455755717","45575571701","P2016101900000004","105007","1","1","P2016101900000004-0332"
"455755717","45575571701","P2016101900000004","110205","1","1","P2016101900000004-0359"
