"YYBM","PSDBM","PSDBH","YPBM","SCPH","CRKSL","PSDMXBH"
"455834757","45583475701","P2016101900000009","111091","1","1","P2016101900000009-0369"
"455834757","45583475701","P2016101900000009","110357","1","1","P2016101900000009-0430"
"455834757","45583475701","P2016101900000009","113815","1","1","P2016101900000009-0070"
"455834757","45583475701","P2016101900000009","114371","1","1","P2016101900000009-0458"
"455834757","45583475701","P2016101900000009","109513","1","1","P2016101900000009-0355"
"455834757","45583475701","P2016101900000009","115341","1","1","P2016101900000009-0304"
"455834757","45583475701","P2016101900000009","101449","1","1","P2016101900000009-0012"
"455834757","45583475701","P2016101900000009","113821","1","1","P2016101900000009-0346"
"455834757","45583475701","P2016101900000009","114191","1","1","P2016101900000009-0377"
"455834757","45583475701","P2016101900000009","100887","1","1","P2016101900000009-0485"
"455834757","45583475701","P2016101900000009","101471","1","1","P2016101900000009-0173"
"455834757","45583475701","P2016101900000009","117429","1","1","P2016101900000009-0273"
"455834757","45583475701","P2016101900000009","104529","1","1","P2016101900000009-0274"
"455834757","45583475701","P2016101900000009","114577","1","1","P2016101900000009-0096"
"455834757","45583475701","P2016101900000009","105333","1","1","P2016101900000009-0441"
"455834757","45583475701","P2016101900000009","111057","1","1","P2016101900000009-0366"
"455834757","45583475701","P2016101900000009","111129","1","1","P2016101900000009-0194"
"455834757","45583475701","P2016101900000009","108185","1","1","P2016101900000009-0120"
"455834757","45583475701","P2016101900000009","109409","1","1","P2016101900000009-0402"
"455834757","45583475701","P2016101900000009","104965","1","1","P2016101900000009-0287"
"455834757","45583475701","P2016101900000009","114711","1","1","P2016101900000009-0119"
"455834757","45583475701","P2016101900000009","105933","1","1","P2016101900000009-0408"
"455834757","45583475701","P2016101900000009","106223","1","1","P2016101900000009-0028"
"455834757","45583475701","P2016101900000009","112689","1","1","P2016101900000009-0327"
"455834757","45583475701","P2016101900000009","103487","1","1","P2016101900000009-0490"
"455834757","45583475701","P2016101900000009","104175","1","1","P2016101900000009-0032"
"455834757","45583475701","P2016101900000009","114339","1","1","P2016101900000009-0046"
"455834757","45583475701","P2016101900000009","114755","1","1","P2016101900000009-0220"
"455834757","45583475701","P2016101900000009","110379","1","1","P2016101900000009-0152"
"455834757","45583475701","P2016101900000009","118105","1","1","P2016101900000009-0052"
"455834757","45583475701","P2016101900000009","109445","1","1","P2016101900000009-0467"
"455834757","45583475701","P2016101900000009","109379","1","1","P2016101900000009-0343"
"455834757","45583475701","P2016101900000009","109401","1","1","P2016101900000009-0051"
"455834757","45583475701","P2016101900000009","113807","1","1","P2016101900000009-0498"
"455834757","45583475701","P2016101900000009","116309","1","1","P2016101900000009-0454"
"455834757","45583475701","P2016101900000009","111805","1","1","P2016101900000009-0098"
"455834757","45583475701","P2016101900000009","104525","1","1","P2016101900000009-0094"
"455834757","45583475701","P2016101900000009","102575","1","1","P2016101900000009-0113"
"455834757","45583475701","P2016101900000009","117775","1","1","P2016101900000009-0418"
"455834757","45583475701","P2016101900000009","114359","1","1","P2016101900000009-0166"
"455834757","45583475701","P2016101900000009","101245","1","1","P2016101900000009-0068"
"455834757","45583475701","P2016101900000009","108177","1","1","P2016101900000009-0011"
"455834757","45583475701","P2016101900000009","114571","1","1","P2016101900000009-0177"
"455834757","45583475701","P2016101900000009","107241","1","1","P2016101900000009-0069"
"455834757","45583475701","P2016101900000009","105603","1","1","P2016101900000009-0271"
"455834757","45583475701","P2016101900000009","104121","1","1","P2016101900000009-0303"
"455834757","45583475701","P2016101900000009","100971","1","1","P2016101900000009-0062"
"455834757","45583475701","P2016101900000009","109573","1","1","P2016101900000009-0372"
"455834757","45583475701","P2016101900000009","114939","1","1","P2016101900000009-0487"
"455834757","45583475701","P2016101900000009","108509","1","1","P2016101900000009-0307"
"455834757","45583475701","P2016101900000009","113817","1","1","P2016101900000009-0077"
"455834757","45583475701","P2016101900000009","101121","1","1","P2016101900000009-0060"
"455834757","45583475701","P2016101900000009","101609","1","1","P2016101900000009-0186"
"455834757","45583475701","P2016101900000009","108543","1","1","P2016101900000009-0055"
"455834757","45583475701","P2016101900000009","114197","1","1","P2016101900000009-0081"
"455834757","45583475701","P2016101900000009","105343","1","1","P2016101900000009-0232"
"455834757","45583475701","P2016101900000009","115333","1","1","P2016101900000009-0452"
"455834757","45583475701","P2016101900000009","106323","1","1","P2016101900000009-0108"
"455834757","45583475701","P2016101900000009","101119","1","1","P2016101900000009-0252"
"455834757","45583475701","P2016101900000009","115361","1","1","P2016101900000009-0410"
"455834757","45583475701","P2016101900000009","114757","1","1","P2016101900000009-0208"
"455834757","45583475701","P2016101900000009","117443","1","1","P2016101900000009-0099"
"455834757","45583475701","P2016101900000009","104163","1","1","P2016101900000009-0486"
"455834757","45583475701","P2016101900000009","117397","1","1","P2016101900000009-0275"
"455834757","45583475701","P2016101900000009","108139","1","1","P2016101900000009-0463"
"455834757","45583475701","P2016101900000009","100933","1","1","P2016101900000009-0157"
"455834757","45583475701","P2016101900000009","110363","1","1","P2016101900000009-0223"
"455834757","45583475701","P2016101900000009","100431","1","1","P2016101900000009-0446"
"455834757","45583475701","P2016101900000009","111043","1","1","P2016101900000009-0270"
"455834757","45583475701","P2016101900000009","109563","1","1","P2016101900000009-0258"
"455834757","45583475701","P2016101900000009","102551","1","1","P2016101900000009-0010"
"455834757","45583475701","P2016101900000009","108525","1","1","P2016101900000009-0497"
"455834757","45583475701","P2016101900000009","108221","1","1","P2016101900000009-0009"
"455834757","45583475701","P2016101900000009","100025","1","1","P2016101900000009-0187"
"455834757","45583475701","P2016101900000009","103491","1","1","P2016101900000009-0404"
"455834757","45583475701","P2016101900000009","108517","1","1","P2016101900000009-0176"
"455834757","45583475701","P2016101900000009","108137","1","1","P2016101900000009-0351"
"455834757","45583475701","P2016101900000009","114919","1","1","P2016101900000009-0359"
"455834757","45583475701","P2016101900000009","108503","1","1","P2016101900000009-0079"
"455834757","45583475701","P2016101900000009","106219","1","1","P2016101900000009-0480"
"455834757","45583475701","P2016101900000009","113795","1","1","P2016101900000009-0460"
"455834757","45583475701","P2016101900000009","103429","1","1","P2016101900000009-0474"
"455834757","45583475701","P2016101900000009","101611","1","1","P2016101900000009-0314"
"455834757","45583475701","P2016101900000009","107287","1","1","P2016101900000009-0462"
"455834757","45583475701","P2016101900000009","108555","1","1","P2016101900000009-0109"
"455834757","45583475701","P2016101900000009","110361","1","1","P2016101900000009-0201"
"455834757","45583475701","P2016101900000009","114173","1","1","P2016101900000009-0200"
"455834757","45583475701","P2016101900000009","105353","1","1","P2016101900000009-0203"
"455834757","45583475701","P2016101900000009","103251","1","1","P2016101900000009-0479"
"455834757","45583475701","P2016101900000009","111773","1","1","P2016101900000009-0101"
"455834757","45583475701","P2016101900000009","100967","1","1","P2016101900000009-0185"
"455834757","45583475701","P2016101900000009","108537","1","1","P2016101900000009-0457"
"455834757","45583475701","P2016101900000009","101117","1","1","P2016101900000009-0128"
"455834757","45583475701","P2016101900000009","101125","1","1","P2016101900000009-0378"
"455834757","45583475701","P2016101900000009","114132","1","1","P2016101900000009-0026"
"455834757","45583475701","P2016101900000009","103763","1","1","P2016101900000009-0293"
"455834757","45583475701","P2016101900000009","116369","1","1","P2016101900000009-0085"
"455834757","45583475701","P2016101900000009","106225","1","1","P2016101900000009-0317"
"455834757","45583475701","P2016101900000009","100985","1","1","P2016101900000009-0326"
"455834757","45583475701","P2016101900000009","108219","1","1","P2016101900000009-0149"
"455834757","45583475701","P2016101900000009","106275","1","1","P2016101900000009-0279"
"455834757","45583475701","P2016101900000009","114707","1","1","P2016101900000009-0301"
"455834757","45583475701","P2016101900000009","100004","1","1","P2016101900000009-0390"
"455834757","45583475701","P2016101900000009","100435","1","1","P2016101900000009-0006"
"455834757","45583475701","P2016101900000009","111083","1","1","P2016101900000009-0332"
"455834757","45583475701","P2016101900000009","112973","1","1","P2016101900000009-0319"
"455834757","45583475701","P2016101900000009","109561","1","1","P2016101900000009-0242"
"455834757","45583475701","P2016101900000009","113007","1","1","P2016101900000009-0168"
"455834757","45583475701","P2016101900000009","103421","1","1","P2016101900000009-0219"
"455834757","45583475701","P2016101900000009","100955","1","1","P2016101900000009-0417"
"455834757","45583475701","P2016101900000009","117433","1","1","P2016101900000009-0368"
"455834757","45583475701","P2016101900000009","104161","1","1","P2016101900000009-0039"
"455834757","45583475701","P2016101900000009","114337","1","1","P2016101900000009-0331"
"455834757","45583475701","P2016101900000009","101129","1","1","P2016101900000009-0265"
"455834757","45583475701","P2016101900000009","106271","1","1","P2016101900000009-0311"
"455834757","45583475701","P2016101900000009","114937","1","1","P2016101900000009-0181"
"455834757","45583475701","P2016101900000009","113175","1","1","P2016101900000009-0250"
"455834757","45583475701","P2016101900000009","108541","1","1","P2016101900000009-0145"
"455834757","45583475701","P2016101900000009","110377","1","1","P2016101900000009-0492"
"455834757","45583475701","P2016101900000009","111535","1","1","P2016101900000009-0403"
"455834757","45583475701","P2016101900000009","116351","1","1","P2016101900000009-0188"
"455834757","45583475701","P2016101900000009","106193","1","1","P2016101900000009-0035"
"455834757","45583475701","P2016101900000009","105013","1","1","P2016101900000009-0041"
"455834757","45583475701","P2016101900000009","113801","1","1","P2016101900000009-0478"
